,Date,Close
0,1/1/1968,92.239998
1,2/1/1968,89.360001
2,3/1/1968,90.199997
3,4/1/1968,97.459999
4,5/1/1968,98.68
5,6/1/1968,99.58000200000001
6,7/1/1968,97.739998
7,8/1/1968,98.860001
8,9/1/1968,102.66999799999999
9,10/1/1968,103.410004
10,11/1/1968,108.370003
11,12/1/1968,103.860001
12,1/1/1969,103.010002
13,2/1/1969,98.129997
14,3/1/1969,101.510002
15,4/1/1969,103.690002
16,5/1/1969,103.459999
17,6/1/1969,97.709999
18,7/1/1969,91.83000200000001
19,8/1/1969,95.510002
20,9/1/1969,93.120003
21,10/1/1969,97.120003
22,11/1/1969,93.809998
23,12/1/1969,92.059998
24,1/1/1970,85.019997
25,2/1/1970,89.5
26,3/1/1970,89.629997
27,4/1/1970,81.519997
28,5/1/1970,76.550003
29,6/1/1970,72.720001
30,7/1/1970,78.050003
31,8/1/1970,81.519997
32,9/1/1970,84.300003
33,10/1/1970,83.25
34,11/1/1970,87.199997
35,12/1/1970,92.150002
36,1/1/1971,95.879997
37,2/1/1971,96.75
38,3/1/1971,100.309998
39,4/1/1971,103.949997
40,5/1/1971,99.629997
41,6/1/1971,98.699997
42,7/1/1971,95.58000200000001
43,8/1/1971,99.029999
44,9/1/1971,98.339996
45,10/1/1971,94.230003
46,11/1/1971,93.989998
47,12/1/1971,102.089996
48,1/1/1972,103.940002
49,2/1/1972,106.57
50,3/1/1972,107.199997
51,4/1/1972,107.66999799999999
52,5/1/1972,109.529999
53,6/1/1972,107.139999
54,7/1/1972,107.389999
55,8/1/1972,111.089996
56,9/1/1972,110.550003
57,10/1/1972,111.58000200000001
58,11/1/1972,116.66999799999999
59,12/1/1972,118.050003
60,1/1/1973,116.029999
61,2/1/1973,111.68
62,3/1/1973,111.519997
63,4/1/1973,106.970001
64,5/1/1973,104.949997
65,6/1/1973,104.260002
66,7/1/1973,108.220001
67,8/1/1973,104.25
68,9/1/1973,108.43
69,10/1/1973,108.290001
70,11/1/1973,95.959999
71,12/1/1973,97.550003
72,1/1/1974,96.57
73,2/1/1974,96.220001
74,3/1/1974,93.980003
75,4/1/1974,90.309998
76,5/1/1974,87.279999
77,6/1/1974,86.0
78,7/1/1974,79.309998
79,8/1/1974,72.150002
80,9/1/1974,63.540001000000004
81,10/1/1974,73.900002
82,11/1/1974,69.970001
83,12/1/1974,68.559998
84,1/1/1975,76.980003
85,2/1/1975,81.589996
86,3/1/1975,83.360001
87,4/1/1975,87.300003
88,5/1/1975,91.150002
89,6/1/1975,95.190002
90,7/1/1975,88.75
91,8/1/1975,86.879997
92,9/1/1975,83.870003
93,10/1/1975,89.040001
94,11/1/1975,91.239998
95,12/1/1975,90.190002
96,1/1/1976,100.860001
97,2/1/1976,99.709999
98,3/1/1976,102.769997
99,4/1/1976,101.639999
100,5/1/1976,100.18
101,6/1/1976,104.279999
102,7/1/1976,103.440002
103,8/1/1976,102.910004
104,9/1/1976,105.239998
105,10/1/1976,102.900002
106,11/1/1976,102.099998
107,12/1/1976,107.459999
108,1/1/1977,102.029999
109,2/1/1977,99.82
110,3/1/1977,98.41999799999999
111,4/1/1977,98.440002
112,5/1/1977,96.120003
113,6/1/1977,100.480003
114,7/1/1977,98.849998
115,8/1/1977,96.769997
116,9/1/1977,96.529999
117,10/1/1977,92.339996
118,11/1/1977,94.83000200000001
119,12/1/1977,95.099998
120,1/1/1978,89.25
121,2/1/1978,87.040001
122,3/1/1978,89.209999
123,4/1/1978,96.83000200000001
124,5/1/1978,97.239998
125,6/1/1978,95.529999
126,7/1/1978,100.68
127,8/1/1978,103.290001
128,9/1/1978,102.540001
129,10/1/1978,93.150002
130,11/1/1978,94.699997
131,12/1/1978,96.110001
