,date,return
0,1975,31.55
1,1976,19.15
2,1977,-11.5
3,1978,1.06
4,1979,12.31
5,1980,25.77
6,1981,-9.73
7,1982,14.76
8,1983,17.27
9,1984,1.4
10,1985,26.33
