,date,return
0,1968,7.66
1,1969,-11.36
2,1970,0.1
3,1971,10.79
4,1972,15.63
5,1973,-17.37
6,1974,-29.72
7,1975,31.55
8,1976,19.15
9,1977,-11.5
10,1978,1.06
