DATE,MEHOINUSA672N
6/1/2016,
7/1/2016,
8/1/2016,
9/1/2016,
10/1/2016,
11/1/2016,
12/1/2016,
1/1/2017,62626
2/1/2017,
3/1/2017,
4/1/2017,
5/1/2017,
6/1/2017,
7/1/2017,
8/1/2017,
9/1/2017,
10/1/2017,
11/1/2017,
12/1/2017,
1/1/2018,63179
2/1/2018,
3/1/2018,
4/1/2018,
5/1/2018,
6/1/2018,
7/1/2018,
8/1/2018,
9/1/2018,
10/1/2018,
11/1/2018,
12/1/2018,
