,Year,Violent Crime Rate,Property Crime Rate
0,1968,298.4,3071.8
0,1969,328.7,3351.3
0,1970,363.5,3621.0
0,1971,396.0,3768.8
0,1972,401.0,3560.4
0,1973,417.4,3737.0
0,1974,461.1,4389.3
0,1975,487.8,4810.7
0,1976,467.8,4819.5
0,1977,475.9,4601.7
0,1978,497.8,4642.5
