Date,Open,High,Low,Close,Adj Close,Volume
1/1/2008,1467.969971,1471.77002,1270.050049,1378.550049,1378.550049,98475340000
2/1/2008,1378.599976,1396.02002,1316.75,1330.630005,1330.630005,78536130000
3/1/2008,1330.449951,1359.680054,1256.97998,1322.699951,1322.699951,93189170000
4/1/2008,1326.410034,1404.569946,1324.349976,1385.589966,1385.589966,85978630000
5/1/2008,1385.969971,1440.23999,1373.069946,1400.380005,1400.380005,80990480000
6/1/2008,1399.619995,1404.050049,1272,1280,1280,96614040000
7/1/2008,1276.689941,1292.170044,1200.439941,1267.380005,1267.380005,1.24981E+11
8/1/2008,1269.420044,1313.150024,1247.449951,1282.829956,1282.829956,86266010000
9/1/2008,1287.829956,1303.040039,1106.420044,1166.359985,1166.359985,1.40007E+11
10/1/2008,1164.170044,1167.030029,839.799988,968.75,968.75,1.59823E+11
11/1/2008,968.669983,1007.51001,741.02002,896.23999,896.23999,1.1566E+11
12/1/2008,888.609985,918.849976,815.690002,903.25,903.25,1.12884E+11
1/1/2009,902.98999,943.849976,804.299988,825.880005,825.880005,1.12091E+11
2/1/2009,823.090027,875.01001,734.52002,735.090027,735.090027,1.24492E+11
3/1/2009,729.570007,832.97998,666.789978,797.869995,797.869995,1.61844E+11
4/1/2009,793.590027,888.700012,783.320007,872.809998,872.809998,1.38855E+11
5/1/2009,872.73999,930.169983,866.099976,919.140015,919.140015,1.31615E+11
6/1/2009,923.26001,956.22998,888.859985,919.320007,919.320007,1.12653E+11
7/1/2009,920.820007,996.679993,869.320007,987.47998,987.47998,1.06636E+11
8/1/2009,990.219971,1039.469971,978.51001,1020.619995,1020.619995,1.16059E+11
9/1/2009,1019.52002,1080.150024,991.969971,1057.079956,1057.079956,1.12295E+11
10/1/2009,1054.910034,1101.359985,1019.950012,1036.189941,1036.189941,1.13411E+11
11/1/2009,1036.180054,1113.689941,1029.380005,1095.630005,1095.630005,84981530000
12/1/2009,1098.890015,1130.380005,1085.890015,1115.099976,1115.099976,89515330000
