,date,return
0,1996,20.26
1,1997,31.01
2,1998,26.67
3,1999,19.53
4,2000,-10.14
5,2001,-13.04
6,2002,-23.37
7,2003,26.38
8,2004,8.99
9,2005,3.0
10,2006,13.62
